<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200106;100000;155480.0000000;155960.0000000;155480.0000000;155790.0000000;3364
20200106;100100;155790.0000000;155810.0000000;155550.0000000;155560.0000000;1393
20200106;100200;155550.0000000;155600.0000000;155500.0000000;155590.0000000;1158
20200106;100300;155590.0000000;155660.0000000;155350.0000000;155370.0000000;1727
20200106;100400;155360.0000000;155370.0000000;155050.0000000;155150.0000000;2919
20200106;100500;155140.0000000;155140.0000000;154840.0000000;155080.0000000;2672
20200106;100600;155080.0000000;155180.0000000;155000.0000000;155150.0000000;1296
20200106;100700;155140.0000000;155160.0000000;155090.0000000;155110.0000000;477
20200106;100800;155110.0000000;155180.0000000;155050.0000000;155100.0000000;1017
20200106;100900;155100.0000000;155120.0000000;154960.0000000;155000.0000000;1164
20200106;101000;154990.0000000;155130.0000000;154910.0000000;155120.0000000;898
20200106;101100;155110.0000000;155190.0000000;155100.0000000;155170.0000000;487
20200106;101200;155170.0000000;155180.0000000;155090.0000000;155120.0000000;522
20200106;101300;155130.0000000;155140.0000000;155100.0000000;155140.0000000;224
20200106;101400;155150.0000000;155170.0000000;155120.0000000;155140.0000000;285
20200106;101500;155150.0000000;155160.0000000;155090.0000000;155130.0000000;420
20200106;101600;155120.0000000;155160.0000000;155110.0000000;155140.0000000;472
20200106;101700;155140.0000000;155190.0000000;155090.0000000;155190.0000000;357
20200106;101800;155190.0000000;155190.0000000;155110.0000000;155150.0000000;353
20200106;101900;155140.0000000;155180.0000000;155110.0000000;155170.0000000;240
20200106;102000;155180.0000000;155180.0000000;155070.0000000;155130.0000000;391
20200106;102100;155130.0000000;155160.0000000;155110.0000000;155120.0000000;223
20200106;102200;155110.0000000;155120.0000000;154950.0000000;155020.0000000;611
20200106;102300;155010.0000000;155090.0000000;154990.0000000;155070.0000000;433
20200106;102400;155070.0000000;155150.0000000;155070.0000000;155120.0000000;333
20200106;102500;155130.0000000;155180.0000000;155110.0000000;155130.0000000;538
20200106;102600;155130.0000000;155260.0000000;155130.0000000;155170.0000000;838
20200106;102700;155160.0000000;155190.0000000;155120.0000000;155190.0000000;317
20200106;102800;155170.0000000;155180.0000000;155070.0000000;155150.0000000;518
20200106;102900;155160.0000000;155160.0000000;155070.0000000;155090.0000000;223
20200106;103000;155090.0000000;155170.0000000;155020.0000000;155100.0000000;623
20200106;103100;155100.0000000;155100.0000000;155030.0000000;155060.0000000;278
20200106;103200;155070.0000000;155150.0000000;155060.0000000;155140.0000000;229
20200106;103300;155130.0000000;155270.0000000;155120.0000000;155240.0000000;663
20200106;103400;155220.0000000;155320.0000000;155220.0000000;155280.0000000;634
